ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13361476,JH143809,02/05/2024 12:00:00 AM,079XX S SOUTH SHORE DR,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,false,true,0422,004,7,46,08B,1198534,1852883,2024,02/13/2024 03:40:24 PM,41.75113641,-87.548036989,"(41.75113641, -87.548036989)"
13365630,JH148769,02/05/2024 12:00:00 AM,042XX N RICHMOND ST,0460,BATTERY,SIMPLE,SCHOOL - PUBLIC GROUNDS,false,false,1724,017,33,16,08B,1155956,1927997,2024,02/13/2024 03:40:24 PM,41.958218081,-87.702040567,"(41.958218081, -87.702040567)"
13367019,JH149415,02/05/2024 12:00:00 AM,132XX S ELLIS AVE,0810,THEFT,OVER $500,OTHER (SPECIFY),false,false,0533,005,10,54,06,1185524,1817967,2024,02/15/2024 03:40:11 PM,41.655638574,-87.59680568,"(41.655638574, -87.59680568)"
13367671,JH149735,02/05/2024 12:00:00 AM,030XX W LELAND AVE,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,false,false,1713,017,33,14,17,1155080,1931065,2024,02/15/2024 03:40:11 PM,41.966654524,-87.705178388,"(41.966654524, -87.705178388)"
13369859,JH153736,02/05/2024 12:00:00 AM,064XX N SHERIDAN RD,1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,RESIDENCE,false,true,2432,024,49,1,26,1167089,1943108,2024,02/18/2024 03:40:09 PM,41.999450755,-87.66067547,"(41.999450755, -87.66067547)"
13373333,JH157839,02/05/2024 12:00:00 AM,041XX N PARKSIDE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,1624,016,38,15,06,1137941,1926862,2024,02/21/2024 03:40:55 PM,41.955448609,-87.768298576,"(41.955448609, -87.768298576)"
13358707,JH140539,02/05/2024 12:01:00 AM,041XX W GLADYS AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,false,false,1132,011,28,26,11,1148901,1898034,2024,02/13/2024 03:41:06 PM,41.87613646,-87.728754038,"(41.87613646, -87.728754038)"
13359645,JH141648,02/05/2024 12:01:00 AM,022XX S MICHIGAN AVE,0810,THEFT,OVER $500,BAR OR TAVERN,false,false,0132,001,3,33,06,1177561,1889490,2024,02/13/2024 03:41:06 PM,41.852089006,-87.623784345,"(41.852089006, -87.623784345)"
13358819,JH140521,02/05/2024 12:01:00 AM,060XX S INDIANA AVE,0498,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",APARTMENT,false,true,0311,003,20,40,04B,1178632,1865048,2024,02/13/2024 03:41:06 PM,41.784993793,-87.620597636,"(41.784993793, -87.620597636)"
13358527,JH140320,02/05/2024 12:10:00 AM,031XX W LEXINGTON ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,true,1134,011,24,27,05,1155568,1896532,2024,02/13/2024 03:41:06 PM,41.87188334,-87.704315401,"(41.87188334, -87.704315401)"
13358537,JH140334,02/05/2024 12:30:00 AM,073XX N HOYNE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,APARTMENT,false,true,2424,024,49,1,11,1160973,1948858,2024,02/13/2024 03:41:06 PM,42.015358551,-87.683013901,"(42.015358551, -87.683013901)"
13359296,JH141318,02/05/2024 12:30:00 AM,054XX W POTOMAC AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2532,025,37,25,14,1139668,1908120,2024,02/13/2024 03:41:06 PM,41.903987164,-87.762408466,"(41.903987164, -87.762408466)"
13358550,JH140348,02/05/2024 12:30:00 AM,050XX N WINTHROP AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,false,2033,020,48,3,08A,1167958,1933798,2024,02/13/2024 03:41:06 PM,41.973885119,-87.657748827,"(41.973885119, -87.657748827)"
13358533,JH140322,02/05/2024 12:31:00 AM,009XX W 65TH ST,0920,MOTOR VEHICLE THEFT,ATTEMPT - AUTOMOBILE,STREET,false,false,0723,007,16,68,07,1170971,1861727,2024,02/13/2024 03:41:06 PM,41.776051411,-87.648782997,"(41.776051411, -87.648782997)"
13358562,JH140335,02/05/2024 12:46:00 AM,046XX N MARINE DR,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",HOSPITAL BUILDING / GROUNDS,true,false,1914,019,46,3,08B,1170399,1931093,2024,02/13/2024 03:41:06 PM,41.966409353,-87.648852157,"(41.966409353, -87.648852157)"
13359082,JH140959,02/05/2024 12:48:00 AM,030XX W LELAND AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,APARTMENT,false,true,1713,017,33,14,17,1155080,1931065,2024,02/13/2024 03:41:06 PM,41.966654524,-87.705178388,"(41.966654524, -87.705178388)"
13358551,JH140339,02/05/2024 12:52:00 AM,101XX S TORRENCE AVE,0460,BATTERY,SIMPLE,STREET,false,false,0431,004,7,51,08B,1195479,1838211,2024,02/13/2024 03:41:06 PM,41.710951144,-87.559715035,"(41.710951144, -87.559715035)"
